MURATA/GRM188R61C225KE15D	C1	15.23	65.8	90
MURATA/GRM1885C1H471JA01D	C2	8.055	65.8	90
TDK/C1608C0G1H090C080AA	C4	10.65	53.7	90
TDK/C1608C0G1H090C080AA	C3	8.4	53.7	90
TI/MSP430FR5969IRGZR	U1	11.14	45	0
MICROCHIP/MIC5219-3.3YM5-TR	U2	11.39	66.25	180
ABRACON/ABS05-32.768KHZ-9-T	X1	9.56	51.22	0
PANASONIC/ERJ-6GEYJ471V	R2	14.39	58	0
PANASONIC/ERJ-6GEYJ471V	R1	8.39	58	180
PANASONIC/ERJ-6GEYJ471V	R4	12.65	72.7	0
LITEON/LTST-C170KGKT	LED1	8.39	60	90
LITEON/LTST-C170KGKT	LED2	14.39	60	270
LITEON/LTST-C170KGKT	PWR	8.1	72.7	90
